,centries,titles,authors,scores,votes,website,average rating,times rated
16334,20th,"And Where Were You, Adam?",Heinrich Böll,39,1,https://www.goodreads.com/book/show/943294.And_Where_Were_You_Adam_,3.83,912.0
16335,20th,"Winterlong (Winterlong, #1)",Elizabeth Hand,39,1,https://www.goodreads.com/book/show/102888.Winterlong,3.7,846.0
16336,20th,"Burning For Revenge (Tomorrow, #5)",John Marsden,39,1,https://www.goodreads.com/book/show/71869.Burning_For_Revenge,4.17,16275.0
16337,20th,To the Back of Beyond: An Illustrated Companion to Central Asia and Mongolia,Fitzroy Maclean,39,1,https://www.goodreads.com/book/show/4449367-to-the-back-of-beyond,4.13,15.0
16338,20th,The Weight of Water,Anita Shreve,39,2,https://www.goodreads.com/book/show/228534.The_Weight_of_Water,3.64,27288.0
16339,20th,The Fields,Conrad Richter,39,1,https://www.goodreads.com/book/show/79275.The_Fields,4.23,1473.0
16340,20th,A Journey To The Center Of The Earth,Raymond James,39,1,https://www.goodreads.com/book/show/1345915.A_Journey_To_The_Center_Of_The_Earth,3.93,2023.0
16341,20th,"Gentle Rogue (Malory-Anderson Family, #3)",Johanna Lindsey,39,1,https://www.goodreads.com/book/show/891812.Gentle_Rogue,4.2,21202.0
16342,20th,Spencerville,Nelson DeMille,39,1,https://www.goodreads.com/book/show/21661.Spencerville,3.7,8863.0
16343,20th,"The Dragons of Blueland (My Father's Dragon, #3)",Ruth Stiles Gannett,39,1,https://www.goodreads.com/book/show/962781.The_Dragons_of_Blueland,4.11,4269.0
16344,20th,The Complete Poetry and Prose,William Blake,39,1,https://www.goodreads.com/book/show/782580.The_Complete_Poetry_and_Prose,4.26,16055.0
16345,20th,"Sunrise in the West (Brothers of Gwynedd, #1)",Edith Pargeter,39,1,https://www.goodreads.com/book/show/2466089.Sunrise_in_the_West,3.9,368.0
16346,20th,Recollections Of Three Reigns,Frederick Edward Grey Ponsonby,39,1,https://www.goodreads.com/book/show/2782343-recollections-of-three-reigns,4.2,10.0
16347,20th,Gain,Richard Powers,39,1,https://www.goodreads.com/book/show/23013.Gain,3.78,1037.0
